"","word","freq"
"gets","gets",13
"hard","hard",13
"let","let",13
"loud","loud",13
"perfection","perfection",13
"plate","plate",13
"waited","waited",13
"years","years",13
"add","add",12
"ambiance","ambiance",12
"awful","awful",12
"bisque","bisque",12
"city","city",12
"club","club",12
"cream","cream",12
"dirty","dirty",12
"double","double",12
"entree","entree",12
"especially","especially",12
"evening","evening",12
"far","far",12
"forever","forever",12
"gluten","gluten",12
"hands","hands",12
"however","however",12
"look","look",12
"looks","looks",12
"lots","lots",12
"makes","makes",12
"maybe","maybe",12
"meals","meals",12
"mediocre","mediocre",12
"near","near",12
"plus","plus",12
"sake","sake",12
"salads","salads",12
"second","second",12
"street","street",12
"things","things",12
"told","told",12
"used","used",12
"usually","usually",12
"vibe","vibe",12
"warm","warm",12
"weekend","weekend",12
"wife","wife",12
"without","without",12
"applebees","applebees",11
"bottles","bottles",11
"care","care",11
"choices","choices",11
"course","course",11
"customers","customers",11
"dont","dont",11
"downtown","downtown",11
"egg","egg",11
"enjoyed","enjoyed",11
"extremely","extremely",11
"fine","fine",11
"gone","gone",11
"hungry","hungry",11
"ice","ice",11
"joint","joint",11
"keep","keep",11
"mean","mean",11
"pie","pie",11
"rare","rare",11
"reasonably","reasonably",11
"reviews","reviews",11
"rock","rock",11
"sat","sat",11
"sea","sea",11
"show","show",11
"stars","stars",11
"stay","stay",11
"stuffed","stuffed",11
"three","three",11
"waste","waste",11
"wing","wing",11
"baby","baby",10
"bass","bass",10
"beat","beat",10
"called","called",10
"cocktail","cocktail",10
"crowded","crowded",10
"days","days",10
"disappointing","disappointing",10
"dressing","dressing",10
"either","either",10
"environment","environment",10
"homemade","homemade",10
"king","king",10
"marrow","marrow",10
"plates","plates",10
"put","put",10
"reasonable","reasonable",10
"regular","regular",10
"seated","seated",10
"seems","seems",10
"sitting","sitting",10
"skip","skip",10
"spend","spend",10
"sprouts","sprouts",10
"sucks","sucks",10
"till","till",10
"trip","trip",10
"water","water",10
"west","west",10
"white","white",10
"wifi","wifi",10
"yet","yet",10
"anything","anything",9
"baked","baked",9
"booth","booth",9
"bottle","bottle",9
"cheesecake","cheesecake",9
"chocolate","chocolate",9
"dinners","dinners",9
"event","event",9
"expect","expect",9
"gift","gift",9
"grill","grill",9
"hit","hit",9
"hostess","hostess",9
"italian","italian",9
"least","least",9
"legs","legs",9
"martinis","martinis",9
"medium","medium",9
"mushrooms","mushrooms",9
"mussels","mussels",9
"nachos","nachos",9
"notch","notch",9
"okay","okay",9
"ordering","ordering",9
"packed","packed",9
"pepper","pepper",9
"phenomenal","phenomenal",9
"plan","plan",9
"quiet","quiet",9
"raw","raw",9
"ready","ready",9
"recommended","recommended",9
"sirloin","sirloin",9
"someone","someone",9
"soon","soon",9
"stuff","stuff",9
"style","style",9
"summer","summer",9
"sundays","sundays",9
"tables","tables",9
"tell","tell",9
"tender","tender",9
"thanks","thanks",9
"tvs","tvs",9
"twice","twice",9
"valet","valet",9
